GID,SEAS,Date,WEEK,V,H,PTSV,PTSH,Winner,Loser,home_win,Win_Margin,hGames,vGames,hWinP,vWinP
292972502,2009,10/24/2009,43,UC Davis,Portland State,34,31,UC Davis,Portland State,0,3,6,6,0.1667,0.5
292972506,2009,10/24/2009,43,VMI,Presbyterian,31,20,VMI,Presbyterian,0,11,6,6,0,0.1667
292972509,2009,10/24/2009,43,Illinois,Purdue,14,24,Purdue,Illinois,1,10,7,6,0.2857,0.1667
292972542,2009,10/24/2009,43,Old Dominion,Savannah State,38,17,Old Dominion,Savannah State,0,21,5,7,0.2,0.7143
292972571,2009,10/24/2009,43,Northern Iowa,South Dakota St,14,24,South Dakota St,Northern Iowa,1,10,6,7,0.8333,0.7143
292972572,2009,10/24/2009,43,Tulane,Southern Miss,6,43,Southern Miss,Tulane,1,37,7,6,0.5714,0.3333
292972579,2009,10/24/2009,43,Vanderbilt,South Carolina,10,14,South Carolina,Vanderbilt,1,4,7,7,0.7143,0.2857
292972598,2009,10/24/2009,43,Duquesne,St Francis (PA),14,31,St Francis (PA),Duquesne,1,17,6,7,0.1667,0.2857
292972617,2009,10/24/2009,43,Sam Houston State,SF Austin,3,42,SF Austin,Sam Houston State,1,39,4,4,0.75,0.25
292972619,2009,10/24/2009,43,Coastal Carolina,Stony Brook,10,16,Stony Brook,Coastal Carolina,1,6,7,6,0.4286,0.5
292972630,2009,10/24/2009,43,Murray State,UT Martin,24,38,UT Martin,Murray State,1,14,6,6,0.1667,0.3333
292972635,2009,10/24/2009,43,Southeast Missouri State,Tenn Tech,16,28,Tenn Tech,Southeast Missouri State,1,12,4,3,0.25,0.3333
292972641,2009,10/24/2009,43,Texas A&M,Texas Tech,52,30,Texas A&M,Texas Tech,0,22,7,6,0.7143,0.5
292972643,2009,10/24/2009,43,Furman,Citadel,28,38,Citadel,Furman,1,10,6,6,0.3333,0.6667
292972649,2009,10/24/2009,43,Temple,Toledo,40,24,Temple,Toledo,0,16,7,6,0.5714,0.6667
292972653,2009,10/24/2009,43,North Texas,Troy,26,50,Troy,North Texas,1,24,6,6,0.6667,0.1667
292972674,2009,10/24/2009,43,Dayton,Valparaiso,38,7,Dayton,Valparaiso,0,31,6,6,0.1667,0.8333
292972681,2009,10/24/2009,43,Sacred Heart,Wagner,28,49,Wagner,Sacred Heart,1,21,6,6,0.5,0.1667
292972711,2009,10/24/2009,43,Buffalo,W Michigan,31,34,W Michigan,Buffalo,1,3,6,7,0.3333,0.4286
292972717,2009,10/24/2009,43,Wofford,Western Carolina,35,26,Wofford,Western Carolina,0,9,0,6,0,0.1667
292972729,2009,10/24/2009,43,James Madison,William & Mary,3,24,William & Mary,James Madison,1,21,6,6,0.8333,0.3333
292972803,2009,10/24/2009,43,Cent Conn St,Bryant,24,23,Cent Conn St,Bryant,0,1,6,0,0.5,0
293000235,2009,10/27/2009,44,East Carolina,Memphis,38,19,East Carolina,Memphis,0,19,7,7,0.2857,0.5714
293020259,2009,10/29/2009,44,North Carolina,Virginia Tech,20,17,North Carolina,Virginia Tech,0,3,7,7,0.7143,0.5714
293030058,2009,10/30/2009,44,West Virginia,South Florida,19,30,South Florida,West Virginia,1,11,7,7,0.7143,0.8571
293040002,2009,10/31/2009,44,Ole Miss,Auburn,20,33,Auburn,Ole Miss,1,13,8,7,0.625,0.7143
293040008,2009,10/31/2009,44,E Michigan,Arkansas,27,63,Arkansas,E Michigan,1,36,7,3,0.4286,0
293040009,2009,10/31/2009,44,California,Arizona State,23,21,California,Arizona State,0,2,7,7,0.5714,0.7143
293040016,2009,10/31/2009,44,Northern Arizona,Sacramento St,24,27,Sacramento St,Northern Arizona,1,3,5,3,0.4,1
293040021,2009,10/31/2009,44,New Mexico,San Diego State,20,23,San Diego State,New Mexico,1,3,7,7,0.4286,0
293040036,2009,10/31/2009,44,Air Force,Colorado State,34,16,Air Force,Colorado State,0,18,8,8,0.375,0.5
293040038,2009,10/31/2009,44,Missouri,Colorado,36,17,Missouri,Colorado,0,19,7,7,0.2857,0.5714
293040041,2009,10/31/2009,44,Rutgers,Connecticut,28,24,Rutgers,Connecticut,0,4,7,7,0.5714,0.7143
293040048,2009,10/31/2009,44,James Madison,Delaware,20,8,James Madison,Delaware,0,12,7,7,0.7143,0.2857
293040052,2009,10/31/2009,44,NC State,Florida State,42,45,Florida State,NC State,1,3,7,4,0.4286,0.5
293040057,2009,10/31/2009,44,Georgia,Florida,17,41,Florida,Georgia,1,24,7,7,1,0.5714
293040068,2009,10/31/2009,44,San Jose State,Boise State,7,45,Boise State,San Jose State,1,38,7,6,1,0.1667
293040070,2009,10/31/2009,44,Louisiana Tech,Idaho,34,35,Idaho,Louisiana Tech,1,1,8,7,0.75,0.4286
293040077,2009,10/31/2009,44,Penn State,Northwestern,34,13,Penn State,Northwestern,0,21,8,8,0.625,0.875
293040087,2009,10/31/2009,44,Washington St,Notre Dame,14,40,Notre Dame,Washington St,1,26,7,7,0.7143,0.1429
293040093,2009,10/31/2009,44,Eastern Illinois,Murray State,16,10,Eastern Illinois,Murray State,0,6,7,7,0.2857,0.7143
293040096,2009,10/31/2009,44,Mississippi St,Kentucky,31,24,Mississippi St,Kentucky,0,7,7,7,0.5714,0.2857
293040097,2009,10/31/2009,44,Arkansas State,Louisville,13,21,Louisville,Arkansas State,1,8,7,6,0.2857,0.3333
293040099,2009,10/31/2009,44,Tulane,LSU,0,42,LSU,Tulane,1,42,7,7,0.8571,0.2857
293040103,2009,10/31/2009,44,Cent Michigan,Boston College,10,31,Boston College,Cent Michigan,1,21,8,5,0.625,0.8
293040108,2009,10/31/2009,44,Dartmouth,Harvard,21,42,Harvard,Dartmouth,1,21,6,6,0.6667,0.1667
293040119,2009,10/31/2009,44,Richmond,Towson,42,14,Richmond,Towson,0,28,7,7,0.2857,1
293040135,2009,10/31/2009,44,Michigan State,Minnesota,34,42,Minnesota,Michigan State,1,8,8,8,0.5,0.5
293040147,2009,10/31/2009,44,Idaho State,Montana State,10,41,Montana State,Idaho State,1,31,7,8,0.5714,0
293040149,2009,10/31/2009,44,Weber State,Montana,10,31,Montana,Weber State,1,21,7,8,1,0.625
293040154,2009,10/31/2009,44,Miami (FL),Wake Forest,28,27,Miami (FL),Wake Forest,0,1,8,7,0.5,0.7143
293040155,2009,10/31/2009,44,Cal Poly,North Dakota,17,31,North Dakota,Cal Poly,1,14,7,7,0.4286,0.5714
293040160,2009,10/31/2009,44,Northeastern,New Hampshire,21,48,New Hampshire,Northeastern,1,27,7,7,0.8571,0.1429
293040163,2009,10/31/2009,44,Cornell,Princeton,13,17,Princeton,Cornell,1,4,6,6,0.1667,0.3333
293040171,2009,10/31/2009,44,Yale,Columbia,23,22,Yale,Columbia,0,1,6,6,0.3333,0.5
293040183,2009,10/31/2009,44,Cincinnati,Syracuse,28,7,Cincinnati,Syracuse,0,21,7,7,0.4286,1
